Study_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Academic_Pressure_Index,Wellness_Ratio,GPA_Efficiency
0.3800000000000001,0.7399999999999995,0.4666666666666666,0.13846153846153847,0.42613636363636376,1,0.17669190060181353,0.31199052179829767,0.35693097875002844
0.06000000000000005,0.5999999999999999,0.7,0.23076923076923078,0.2897727272727273,0,0.0630932319191326,0.4946146699612747,0.5840926969713861
0.020000000000000018,0.8399999999999996,0.19999999999999998,0.35384615384615387,0.24431818181818166,0,0.10148573433468391,0.7025278710494505,0.596472542164641
0.30000000000000004,0.43999999999999995,0.2833333333333333,0.5,0.36363636363636354,1,0.26611487764335695,0.5052414650498902,0.3828078486184713
0.6199999999999999,0.30000000000000004,0.3666666666666667,0.5076923076923077,0.721590909090909,2,0.4038115207044424,0.34350191275591757,0.3569312258446039
0.19999999999999996,0.5999999999999999,0.049999999999999996,0.5846153846153846,0.34659090909090917,1,0.26100653917779026,0.6676074820290313,0.46758882049840655
0.5999999999999999,0.06000000000000005,0.95,0.33076923076923076,0.4772727272727273,2,0.2640125611268087,0.20587903271508592,0.22856776795942813
0.6799999999999999,0.1200000000000001,0.5,0.4,0.5454545454545454,2,0.43517252171043364,0.23414816856371065,0.21781818048625434
0.04000000000000026,0.26,0.6666666666666666,0.37692307692307697,0.32954545454545436,0,0.11141329872415098,0.5204630162364037,0.6463438304762953
0.5399999999999998,0.9599999999999995,0.7499999999999998,0.09999999999999999,0.2954545454545452,1,0.13447097525175924,0.28554650309351204,0.15803393698861412
0.94,0.6000000000000003,0.41666666666666674,0.01538461538461539,0.6761363636363638,2,0.39885466724444696,0.08891686296022086,0.14519790433262525
0.3799999999999999,0.8199999999999994,0.3499999999999999,0.3692307692307692,0.4147727272727273,1,0.18771835420636382,0.47450373397369616,0.34923302285523905
0.28,0.14000000000000012,0.7999999999999999,0.37692307692307697,0.32954545454545436,2,0.18322606653195553,0.3563529820240069,0.37629601655151
0.0,0.6999999999999995,0.7333333333333332,0.21538461538461534,0.3579545454545454,0,0.03096405733365623,0.5554731415514759,0.7305119387867748
0.7799999999999998,0.3599999999999999,0.11666666666666665,0.5615384615384615,0.659090909090909,2,0.5791982776840682,0.332613650814913,0.2206601910606737
0.3400000000000001,0.31999999999999984,0.3333333333333333,0.6461538461538462,0.5454545454545454,1,0.29954991026371036,0.5484835971250953,0.4745258172826693
0.7199999999999993,0.8799999999999994,0.2666666666666666,0.13846153846153847,0.6363636363636362,2,0.30143570832505784,0.23962669058896321,0.24369971546440017
0.76,0.7799999999999998,0.3333333333333333,0.16153846153846155,0.5397727272727273,2,0.3189456166145819,0.22236939408407067,0.16881248281889838
0.5199999999999998,0.020000000000000018,0.09999999999999999,0.6923076923076923,0.5227272727272727,2,0.6798245345095684,0.4219889038214545,0.31033823520968207
0.31999999999999984,0.8999999999999997,0.25,0.3384615384615385,0.3920454545454546,1,0.17669188433089408,0.5047033359338099,0.38509842151458373
0.41999999999999993,0.21999999999999997,0.08333333333333333,0.5615384615384615,0.375,1,0.5031044431359214,0.43256269427098526,0.29084786644519534
0.9199999999999997,0.6399999999999997,0.43333333333333335,0.03076923076923077,0.6249999999999998,2,0.37489594996576014,0.10556301426129402,0.13008221760356276
0.7999999999999998,0.8999999999999997,0.43333333333333335,0.16923076923076924,0.5511363636363635,2,0.2753529509374536,0.23885972130648478,0.15332036565298712
0.22000000000000042,0.8200000000000001,0.8666666666666668,0.1461538461538462,0.34659090909090917,1,0.05770552899688017,0.4048439075181347,0.44690848967895824
2.220446049250313e-16,0.41999999999999993,0.21666666666666667,0.6615384615384615,0.25,0,0.17342466926456582,0.845702459459101,0.629591792585214
0.9399999999999993,0.5199999999999996,0.6333333333333332,0.12307692307692307,0.5965909090909092,2,0.3488164951827676,0.12291751890685734,0.10686682956308957
0.3599999999999999,0.9599999999999997,0.15,0.2,0.2272727272727273,1,0.20105772295082305,0.4115228223197708,0.23715981947070153
0.28,0.5999999999999999,0.5,0.5,0.40340909090909105,1,0.1642175019314778,0.5573286274506294,0.4302418419874773
0.06000000000000005,0.8999999999999997,0.2333333333333333,0.5153846153846154,0.3125,0,0.09864115864577525,0.8181979941403709,0.6041364224185485
0.9799999999999993,0.6799999999999995,0.5999999999999999,0.0846153846153846,0.5738636363636362,2,0.3310624094043255,0.12659234386813198,0.07793877830616802
0.24,0.3599999999999999,0.6333333333333333,0.33076923076923076,0.4602272727272725,1,0.16633577951566167,0.40057091891599694,0.5125660506854844
0.10000000000000009,0.31999999999999984,0.18333333333333335,0.576923076923077,0.5795454545454544,0,0.25510209705019204,0.6556144029041234,0.78024799082876
0.04000000000000026,0.6799999999999999,0.016666666666666666,0.6076923076923078,0.13068181818181812,0,0.18476343130437092,0.8439266602896957,0.46758849703691385
0.6399999999999997,0.6999999999999997,0.3833333333333333,0.33076923076923076,0.5681818181818183,2,0.28595822509681756,0.32493107520053766,0.25544963055871384
0.9399999999999995,0.3400000000000001,0.11666666666666665,0.4846153846153846,0.7840909090909092,2,0.6643724093140262,0.2521200115040758,0.1972186486627101
0.8200000000000001,0.5200000000000002,0.2,0.3000000000000001,0.5,2,0.4745176028715754,0.22689971640004455,0.1166451030699096
0.10000000000000009,0.8999999999999997,0.5666666666666667,0.15384615384615385,0.19318181818181812,0,0.05755673655200641,0.49970606328451805,0.4518953023386242
0.7199999999999998,0.8799999999999999,0.31666666666666665,0.038461538461538464,0.44886363636363624,2,0.2871950542944445,0.18977224698998915,0.1417912817783331
